"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"49","Divestment","Full","Blumenthal Foundation","Philanthropic Foundation","USA","Charlotte","--"
"50","Divestment","Full","Bondage Super","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"51","Divestment","Full","Booth Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"52","Divestment","Full","Boston Church of the Covenant, MA","Faith-based Organization","USA","Boston","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"53","Divestment","Full","Both ENDS Foundation","Philanthropic Foundation","Netherlands","Amsterdam","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"54","Divestment","Full","Brevard College","Educational Institution","USA","Brevard","https://www.brevard.edu/news-events/news/brevard-college-commits-fossil-fuel-divestment"
"55","Divestment","Full","Brighthelm Church and Community Centre","Faith-based Organization","UK","Brighton","http://operationnoah.org/wp-content/uploads/2014/05/Brighthelm_crop2.jpg"
"56","Divestment","Full","Brinstones Super","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"57","Divestment","Full","British Medical Association","Healthcare Institution","UK","London","http://www.henleynews.co.uk/images2014/BMA%20fossil%20fuels.png"
"58","Divestment","Full","Bullitt Foundation","Philanthropic Foundation","USA","Seattle","--"
